The Era of Flash Is Now;;https://www.datacenterknowledge.com/storage/era-flash-now;; Flash is replacing spinning disk in data centers, reducing energy costs and simplifying architectures. Flash is now used for performance and capacity-oriented workloads, and is being deployed in cloud and edge environments. Storage vendors are innovating to enable secure, reliable data with high performance.
HP extends private cloud portfolio at Equinix data centres;;https://datacenternews.asia/story/hp-extends-private-cloud-portfolio-at-equinix-data-centres;; HP and Equinix partner to provide customers with pre-provisioned HP GreenLake private cloud portfolio at strategic data centres, offering scalability, rapid provisioning, optimized performance, open choice, and low cost of ownership.
Amazon Is Spending $100 Million to Teach Cloud Customers About AI;;https://www.datacenterknowledge.com/amazon/amazon-spending-100-million-teach-cloud-customers-about-ai;; Amazon Web Services is investing $100 million to set up the AWS Generative AI Innovation Center to help customers develop and deploy new AI products, matching Microsoft and Google in the generative AI market.
DOE Refuses Pipeline Operator Energy Transfer's Rehearing Request for LNG Project;;https://pgjonline.com/news/2023/june/doe-refuses-pipeline-operator-energy-transfers-rehearing-request-for-lng-project;; DOE denies Energy Transfer's request for a second extension of its Lake Charles LNG project, potentially ending the project. DOE open to considering another application if unable to meet export deadline in 2025. Energy Transfer has spent $350 million and secured 7.9 million tons of LNG offtake.
Submarine optical fibre cables market to be US$67.8 billion by 2033: FMI;;https://datacenternews.asia/story/submarine-optical-fibre-cables-market-to-be-us-67-8-billion-by-2033-fmi;; Submarine optical fibre cables market projected to increase substantially, driven by demand for cloud services, data centres, offshore renewable energy projects, and global trade. Market hindered by high installation and maintenance costs, natural disasters, and legal/political issues. Market players investing in R&D and strategic partnerships to capitalize on growth.
AI and Crypto Are Becoming Regulatory Frenemies;;https://www.datacenterknowledge.com/artificial-intelligence/ai-and-crypto-are-becoming-regulatory-frenemies;; Crypto and AI compete for tech innovators and venture capitalists, with AI traditionally centralized and crypto decentralized. AI is used to build decentralized controls, while crypto uses AI to build complex structures. Choosing the right mix of centralization and decentralization is a key social issue.
Romania Could Be Net Gas Exporter in Coming Years with Neptun Project;;https://pgjonline.com/news/2023/june/romania-could-be-net-gas-exporter-in-coming-years-with-neptun-project;; Romania could become a net exporter of gas by 2027 due to the Neptun Deep Black Sea project, which is estimated to cost 4 billion euros and hold 100 Bcm of recoverable gas. The project is expected to generate 20 billion euros in state revenue.
EIA: US Crude Inventories Post Surprise Draw, Fuel Stocks Rise;;https://pgjonline.com/news/2023/june/eia-us-crude-inventories-post-surprise-draw-fuel-stocks-rise;; U.S. crude exports rose and imports fell, leading to a surprise draw in crude inventories. However, higher interest rates and minor product builds weighed on the market, causing prices to fall. Refinery utilization rates also decreased.
Report: Israel's Gas Reserves Grew by 40% Over Past Decade;;https://pgjonline.com/news/2023/june/report-israels-gas-reserves-grew-by-40-over-past-decade;; Israel's natural gas reserves have grown 40% in the past decade due to increased drilling and exploration, with five-fold growth in offshore production. 119 Bcm was extracted over the same period, due to new discoveries and exploration around hubs like Leviathan. The region has seen rapid expansion of natural gas production.
US Oil Stocks at Cushing Delivery Hub Hit 2-Year Peak;;https://pgjonline.com/news/2023/june/us-oil-stocks-at-cushing-delivery-hub-hit-2-year-peak;; U.S. crude oil inventories at Cushing, Oklahoma, have risen to two-year high due to outages at Midwestern refineries and higher flows from Canada. Overseas demand and refinery restarts should reverse the build.
"The conversation shifts to the submarine optical fibre cable market, which is projected to increase substantially due to the demand for cloud services, data centres, offshore renewable energy projects, and global trade. However, the market is hindered by high installation and maintenance costs, natural disasters, and legal/political issues. Market players are investing in R&D and strategic partnerships to capitalize on growth. The conversation then moves to the competition between crypto and AI for tech innovators and venture capitalists, with AI traditionally centralized and crypto decentralized. AI is used to build decentralized controls, while crypto uses AI to build complex structures. Choosing the right mix of centralization and decentralization is a key social issue. The AI then brings up the Neptun Deep Black Sea gas project in Romania, which is expected to make Romania a net exporter of gas by 2027 and generate 20 billion euros in state revenue. The AI then discusses the recent surprise draw in U.S. crude inventories due to increased exports and decreased imports, but notes that higher interest rates and minor product builds have caused prices to fall and refinery utilization rates to decrease. The conversation then shifts to Israel's natural gas reserves, which have grown 40% in the past decade due to increased drilling and exploration, with five-fold growth in offshore production. The region has seen rapid expansion of natural gas production. The AI notes that U.S. crude oil inventories at Cushing, Oklahoma, have risen to a two-year high due to outages at Midwestern refineries and higher flows from Canada, but predicts that overseas demand and refinery restarts should reverse the build."
